ID,CODE_GENDER,NAME_INCOME_TYPE,NAME_FAMILY_STATUS,AMT_INCOME_TOTAL,overdue_months,approved_behavior,approved_biased,bias_wrong
5008830,F,Working,Married,157500.0,2.0,1,0,True
5008831,F,Working,Married,157500.0,2.0,1,0,True
5008832,F,Working,Married,157500.0,2.0,1,0,True
5008991,F,Working,Separated,270000.0,0.0,1,0,True
5008992,F,Working,Separated,270000.0,0.0,1,0,True
5008993,F,Working,Separated,270000.0,0.0,1,0,True
5008994,F,Working,Separated,270000.0,0.0,1,0,True
5008995,F,Working,Separated,270000.0,0.0,1,0,True
5112861,F,Working,Separated,270000.0,0.0,1,0,True
6153801,F,Working,Separated,270000.0,0.0,1,0,True
5008998,F,Working,Married,270000.0,0.0,1,0,True
5008999,F,Working,Married,270000.0,0.0,1,0,True
5009031,F,Working,Single / not married,315000.0,0.0,1,0,True
5009032,F,Working,Single / not married,315000.0,0.0,1,0,True
6153669,F,Working,Single / not married,315000.0,0.0,1,0,True
5009039,F,Working,Single / not married,157500.0,0.0,1,0,True
5009040,F,Working,Single / not married,157500.0,0.0,1,0,True
5009050,F,Working,Married,202500.0,0.0,1,0,True
5009051,F,Working,Married,202500.0,1.0,1,0,True
5009052,F,Working,Married,202500.0,0.0,1,0,True
5009053,F,Working,Married,202500.0,0.0,1,0,True
5009055,F,Working,Married,202500.0,0.0,1,0,True
5009056,M,Working,Single / not married,202500.0,0.0,1,0,True
5009057,M,Working,Single / not married,202500.0,0.0,1,0,True
5009099,F,Working,Separated,315000.0,0.0,1,0,True
5009100,F,Working,Separated,315000.0,0.0,1,0,True
5009151,F,Working,Married,180000.0,0.0,1,0,True
5009152,F,Working,Married,180000.0,0.0,1,0,True
5009153,F,Working,Married,180000.0,0.0,1,0,True
5009154,F,Working,Married,180000.0,0.0,1,0,True
5009155,F,Working,Married,180000.0,0.0,1,0,True
5009156,F,Working,Married,180000.0,0.0,1,0,True
5009157,F,Working,Married,180000.0,0.0,1,0,True
5009158,F,Working,Married,180000.0,0.0,1,0,True
